data;pluviometria;residuo IIA;residuo IIB;vazao chorume;residuo chorume;tratamento externo chorume;tratamento interno chorume;fonte chorume aterro;fonte chorume chuva;fonte chorume lixão;lagoa media medição;lagoa media reserva;lagoa media capacidade;antiincrustante;Biocida;Carvão;NaCl;Óxido de Cálcio;PAC;Zeolia ZS 0.4x1;Zeolia ZN 3x8;Zeolia ZS 3x8;Cartucho  5x30;Cartucho 5x40;Cartucho 10;Ácido Cítrico;Membrana;Polímero;Reagente Nitro Amoniacal;Soda;Reagente DQO;Massa Resíduos;Volume Resíduos;Massa Específica; OPEX ;Areia Industrial;Brita;Pedra;Pedra 2;Rachão;Hora Tratores;Comcustível Tratores;Resíduos Tratores;Horas Escavadeira;Combustível Escavadeira;Resíduos Escavadeira
jan-22;113,00;36614,00;25842,00;9830,00;37072,00;331,00;10266,00;9830,00;1302,00;15,00;;;;240,00;130,00;;;1240,00;16216,00;;;;300,00;21,00;250,00;138,00;;102,00;1,00;595,00;2,00;43094,00;34749,00;1,24;;;;;;;;;;;;
fev-22;64,00;32057,00;31746,00;8046,00;32733,00;3161,00;8582,00;8046,00;738,00;;;;;10,00;50,00;;;1200,00;12035,00;;;;137,00;34,00;242,00;122,00;;166,00;1,00;880,00;2,00;32724,00;26479,00;1,24;;;;;;;;;;;;
mar-22;433,00;32891,00;34783,00;13593,00;34157,00;7510,00;9814,00;13593,00;4989,00;403,00;6343,00;1371,00;7715,00;200,00;220,00;;;1540,00;11306,00;;;;259,00;9,00;339,00;115,00;;150,00;;600,00;;28985,00;24869,00;1,17; R$ 29.332,38 ;;;;;698,39;;;;;;
abr-22;190,00;32654,00;35759,00;14760,00;33853,00;12613,00;11893,00;14760,00;1302,00;600,00;6334,00;1286,00;7620,00;;;;;910,00;16959,00;;;;160,00;10,00;402,00;35,00;;123,00;1,00;137,00;2,00;31145,00;28292,00;1,10; R$ 47.086,95 ;;;;;1001,85;;;;;;
mai-22;619,00;32457,00;32883,00;21794,00;33874,00;19667,00;11432,00;21794,00;7132,00;1146,00;6249,00;1339,00;7588,00;150,00;150,00;;;130,00;18568,00;;;;238,00;;312,00;160,00;;86,00;1,00;163,00;;39516,00;35391,00;1,12; R$ 66.587,80 ;;99,08;;;1275,52;;;;;;
jun-22;475,00;31087,00;35096,00;24942,00;31087,00;22716,00;11272,00;24942,00;5473,00;1455,00;7145,00;555,00;7700,00;290,00;200,00;;;440,00;10920,00;;;;276,00;35,00;356,00;130,00;;38,00;;375,00;;29853,00;27129,00;1,05;126457,58;;;;940,00;1430,56;446,00;12680,00;29853,00;734,00;11649,00;29853,00
jul-22;486,00;35245,00;25418,00;26709,00;36338,00;21991,00;10225,00;26709,00;5599,00;395,00;7551,00;37,00;7588,00;40,00;40,00;;;210,00;13435,00;;;;312,00;43,00;311,00;431,00;;55,00;1,00;250,00;1,00;38520,00;31658,00;1,22;97922,76;;;;276,40;1593,66;856,00;16930,00;38520,00;695,00;8476,00;38520,00
ago-22;354,00;33584,00;38115,00;24586,00;33584,00;23220,00;10434,00;24586,00;8908,00;340,00;7454,00;1380,00;8835,00;270,00;80,00;;;620,00;15276,00;;;;450,00;45,00;271,00;534,00;16,00;81,00;1,00;215,00;2,00;32472,00;31899,00;1,02;131091,58;;;;494,33;2126,60;835,00;15690,00;32472,00;596,00;7785,00;32472,00
set-22;76,00;30280,00;38251,00;16783,00;30302,00;21866,00;9245,00;16783,00;1912,00;185,00;6607,00;2610,00;9217,00;490,00;450,00;;;70,00;16885,00;;;;290,00;187,00;89,00;127,00;;25,00;;535,00;;35102,00;34249,00;1,02;166279,08;;;;194,53;2789,82;738,00;14657,00;35102,00;616,00;8651,00;35102,00
out-22;72,00;30559,00;38743,00;13168,00;30551,00;5786,00;10036,00;13168,00;1812,00;;6008,00;2827,00;8835,00;633,00;1446,00;;;2187,00;10152,00;;;;77,00;2600,00;84,00;477,00;;22,00;;1325,00;;28298,00;28859,00;0,98;113975,95;;;;;2072,29;586,00;11207,00;28298,00;776,00;10842,00;28298,00
